2024/06/09 14:12:14 url: https://v.qq.com/x/cover/mzc0020027yzd9e/c0044nelexp.html proxy: 
2024/06/09 14:12:15 req url https://v.qq.com/x/cover/mzc0020027yzd9e/c0044nelexp.html
2024/06/09 14:12:15 resp url https://v.qq.com/x/cover/mzc0020027yzd9e/c0044nelexp.html
2024/06/09 14:12:15 req url https://vfiles.gtimg.cn/tvideo2/assets/polyfills-modern.63a87e0e.js
2024/06/09 14:12:15 req url https://vm.gtimg.cn/tencentvideo/script/mockstorage/index.umd.js?max_age=7776000
2024/06/09 14:12:15 req url https://vm.gtimg.cn/tencentvideo_v1/script/play_optimize/txv.core.js?max_age=7200
2024/06/09 14:12:15 req url https://vm.gtimg.cn/thumbplayer/superplayer/1.33.4/superplayer-txv.js?max_age=7776000
2024/06/09 14:12:15 req url https://vm.gtimg.cn/thumbplayer/core/1.33.4/txhlsjs-kernel.js?max_age=7776000
2024/06/09 14:12:15 req url https://vm.gtimg.cn/thumbplayer/core/1.32.11/demux2fmp4-kernel.js?max_age=7776000
2024/06/09 14:12:15 req url https://staticfile.qq.com/datong/universalReportH5/v4.0.5/universal-report.min.js?max_age=7776000
2024/06/09 14:12:15 req url https://vm.gtimg.cn/tencentvideo/vstyle/web/v6/style/css/head_simple.css?max_age=7200
2024/06/09 14:12:15 req url https://vfiles.gtimg.cn/tvideo/aegis/web-sdk/lib/1.38.10/aegis.min.js
2024/06/09 14:12:15 req url https://vfiles.gtimg.cn/tvideo2/assets/index.3779d7da.js
2024/06/09 14:12:15 req url https://vfiles.gtimg.cn/tvideo2/assets/vendor.2ead6ef3.js
2024/06/09 14:12:15 req url https://vfiles.gtimg.cn/tvideo2/assets/tvp.33d7cc1a.js
2024/06/09 14:12:15 req url https://vfiles.gtimg.cn/tvideo2/assets/index.c71a55bc.css
2024/06/09 14:12:15 resp url https://vm.gtimg.cn/tencentvideo/script/mockstorage/index.umd.js?max_age=7776000
2024/06/09 14:12:15 resp url https://vfiles.gtimg.cn/tvideo2/assets/polyfills-modern.63a87e0e.js
2024/06/09 14:12:15 resp url https://vm.gtimg.cn/thumbplayer/superplayer/1.33.4/superplayer-txv.js?max_age=7776000
2024/06/09 14:12:15 resp url https://vm.gtimg.cn/thumbplayer/core/1.33.4/txhlsjs-kernel.js?max_age=7776000
2024/06/09 14:12:15 resp url https://vm.gtimg.cn/thumbplayer/core/1.32.11/demux2fmp4-kernel.js?max_age=7776000
